Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,826.716065,54,8,,
3,-50,3,1745.319698,44,11,,
4,-53,1,2470.951694,45,8,,
5,-47,2,1619.593838,51,8,,
6,-57,1,461.71442,47,7,,
7,-54,0,399.235916,41,6,,
8,-54,2,2435.440455,47,9,,
9,-58,1,1147.359554,52,8,,
10,-54,1,480.091413,40,6,,
11,-54,1,633.999446,41,6,,
12,-57,1,513.910271,51,8,,
13,-54,0,445.536587,42,6,,
14,-55,1,495.110408,45,7,,
15,-54,1,471.705835,42,6,,
16,-55,0,460.290767,43,6,,
17,-59,2,2206.894129,54,8,,
18,-55,0,471.121394,42,6,,
19,-44,4,6697.556005,59,11,,
20,-54,0,428.599641,42,6,,
21,-57,0,437.130132,49,7,,
22,-55,0,473.632227,42,6,,
23,-55,0,473.393007,42,6,,
24,-55,0,729.710225,42,6,,
25,-54,0,934.599868,42,6,,
26,-57,2,703.0546,51,8,,
27,-55,0,445.33586,42,6,,
28,-55,0,445.109378,42,6,,
29,-54,0,449.130762,42,6,,
30,-50,1,2931.245212,44,8,,
31,-56,2,1981.63088,56,9,,
32,-56,1,720.242615,50,7,,
33,-55,0,459.253882,42,6,,
34,-51,2,4335.417815,56,9,,
35,-55,0,478.049471,43,6,,
36,-56,0,469.032028,44,6,,
37,-46,1,6080.779777,54,8,,
38,-50,2,1579.580132,50,8,,
39,-55,0,437.713435,42,6,,
40,-43,2,9184.900924,52,8,,
41,-48,3,2225.672056,55,9,,
42,-55,0,441.640406,43,6,,
43,-54,0,461.655136,42,6,,
44,-49,1,3967.353898,48,8,,
45,-55,0,494.428258,42,6,,
46,-51,2,2866.38441,40,8,,
47,-54,1,523.905359,43,7,,
48,-54,0,449.927824,41,6,,
49,-59,3,2684.404645,56,9,,
50,-46,2,5266.24629,58,9,,
51,-51,1,538.06686,43,7,,
52,-55,0,538.051215,42,6,,
53,-56,2,1238.248611,56,9,,
54,-55,0,444.465938,42,6,,
55,-55,0,446.696386,42,6,,
56,-53,1,2375.179935,44,8,,
57,-55,0,452.16093,42,6,,
58,-51,1,572.129041,43,7,,
59,-53,4,3919.128895,45,9,,
60,-55,0,434.380427,42,6,,
61,-55,0,454.326026,42,6,,
62,-55,0,455.935944,42,6,,
63,-55,0,468.002336,42,6,,
64,-46,1,5597.367357,53,8,,
65,-54,0,421.849074,42,6,,
66,-55,0,447.680364,43,6,,
67,-54,0,429.146762,41,6,,
68,-48,1,1576.069065,45,7,,
69,-55,0,419.181727,42,6,,
70,-55,0,482.472482,42,6,,
71,-58,1,491.962377,50,7,,
72,-52,1,514.559315,41,7,,
73,-54,1,437.774627,41,6,,
74,-56,1,507.650057,46,7,,
75,-55,0,455.942756,42,6,,
76,-55,0,459.751664,43,6,,
77,-58,1,2818.90795,51,8,,
78,-57,1,666.342311,49,7,,
79,-55,0,464.395254,43,6,,
80,-55,0,479.181465,42,6,,
81,-55,3,2467.528193,54,9,,
82,-54,1,440.245497,40,6,,
83,-55,0,458.710993,43,6,,
84,-51,1,1226.40756,50,8,,
85,-55,0,492.222883,42,6,,
86,-48,2,10807.046114,57,9,,
87,-55,1,812.404034,46,7,,
88,-54,0,440.479574,41,6,,
89,-52,1,403.780412,39,6,,
90,-55,0,460.024947,42,6,,
91,-55,0,1088.529693,42,6,,
92,-58,0,788.116635,50,7,,
93,-55,0,462.444877,42,6,,
94,-52,1,595.039024,47,8,,
95,-53,1,711.503788,56,12,,
96,-48,2,5620.242691,60,9,,
97,-57,3,3871.43333,59,9,,
98,-54,0,394.395687,42,6,,
99,-54,0,447.164342,42,6,,
100,-57,0,443.179381,45,6,,
101,-54,0,473.81547,42,6,,
102,-55,0,453.521225,42,6,,
103,-55,0,460.141419,43,6,,
104,-50,1,2921.121558,46,7,,
105,-56,0,460.09483,43,6,,
106,-48,1,1162.988787,45,7,,
107,-50,2,542.585823,45,7,,
108,-55,0,441.603701,43,6,,
109,-54,0,999.89648,42,6,,
110,-55,0,599.949215,43,6,,
111,-54,0,457.65159,42,6,,
112,-55,0,415.598916,42,6,,
113,-54,0,469.680935,42,6,,
114,-46,2,4847.439957,45,8,,
115,-55,0,844.111578,42,6,,
116,-48,2,3579.659816,52,8,,
117,-54,1,433.391236,42,6,,
118,-54,1,465.543827,44,7,,
119,-50,1,987.952509,46,7,,
120,-60,3,8719.427818,59,11,,
121,-55,0,437.991055,43,6,,
122,-55,2,1243.809438,48,7,,
123,-54,0,436.097193,42,6,,
124,-55,2,4148.859173,48,9,,
125,-54,0,374.833421,41,6,,
126,-55,0,904.348572,42,6,,
127,-51,1,2534.080806,45,8,,
128,-56,2,514.278567,48,7,,
129,-52,2,1451.781442,46,8,,
130,-54,1,465.265866,41,6,,
131,-50,2,2539.086339,49,8,,
132,-54,1,671.097835,47,7,,
133,-55,0,449.579922,43,6,,
134,-56,5,6618.079611,54,12,,
135,-48,1,1223.787181,54,8,,
136,-60,3,7086.215123,57,10,,
137,-55,0,449.58669,42,6,,
138,-55,0,462.539936,43,6,,
139,-40,2,12907.678316,63,9,,
140,-55,0,580.678202,42,6,,
141,-55,4,15000.456665,52,12,,
142,-55,0,463.335339,42,6,,
143,-54,0,461.146696,42,6,,
144,-55,0,466.546666,43,6,,
145,-55,0,636.305436,42,6,,
146,-52,1,527.32512,44,7,,
147,-43,5,11468.009609,60,13,,
148,-55,0,478.568872,42,6,,
149,-55,0,835.774233,42,6,,
150,-54,1,581.307915,47,7,,
151,-58,1,501.582679,50,7,,
152,-52,2,2940.891008,47,9,,
153,-55,0,457.568429,42,6,,
154,-49,3,4946.44204,54,9,,
155,-50,1,462.743646,42,7,,
156,-56,5,3291.180515,59,10,,
157,-54,0,418.126503,42,6,,
158,-53,1,679.719389,42,7,,
159,-57,2,1209.431448,49,7,,
160,-55,0,443.596661,42,6,,
161,-56,4,7061.763843,51,10,,
162,-56,1,443.534465,48,7,,
163,-56,2,909.284309,56,8,,
164,-52,1,704.269658,39,6,,
165,-55,0,452.077966,42,6,,
166,-57,0,443.299627,48,7,,
167,-57,1,1000.879037,49,8,,
168,-53,1,2181.272509,39,6,,
169,-57,1,2450.870094,50,8,,
170,-55,0,411.274567,42,6,,
171,-55,0,636.219888,43,6,,
172,-55,0,550.031749,42,6,,
173,-50,1,2469.248678,49,8,,
174,-54,2,3524.749522,57,9,,
175,-55,0,955.963562,43,6,,
176,-54,1,448.657822,41,6,,
177,-53,1,464.856499,39,6,,
178,-53,2,5883.639691,44,9,,
179,-55,1,829.315056,46,8,,
180,-54,2,1137.210579,45,8,,
181,-54,1,3435.778538,45,8,,
182,-51,1,1371.875352,43,7,,
183,-59,1,999.184764,53,8,,
184,-56,1,516.820579,47,7,,
185,-50,2,619.409934,39,7,,
186,-58,1,1273.964701,51,8,,
187,-55,0,983.913874,43,6,,
188,-50,0,279.048415,65,18,,
189,-59,2,1655.644443,57,10,,
190,-55,0,473.717861,42,6,,
191,-50,1,901.454834,46,7,,
192,-55,0,444.163685,42,6,,
193,-55,1,480.750215,44,7,,
194,-55,0,384.011258,42,6,,
195,-54,0,484.704962,42,6,,
196,-54,0,419.677575,41,6,,
197,-52,2,1349.946986,48,8,,
198,-58,1,611.212971,52,8,,
199,-55,1,1192.170726,47,8,,
200,-54,0,384.822946,42,6,,
201,-55,0,864.421598,42,6,,
202,-57,2,511.539002,50,8,,
203,-55,0,438.817357,42,6,,
204,-52,2,5274.517194,42,9,,
205,-55,0,472.05175,43,6,,
206,-54,2,477.274019,43,7,,
207,-49,3,9356.158156,55,10,,
208,-58,2,3388.997307,57,9,,
209,-57,0,456.376326,49,7,,
210,-58,2,3118.850167,53,9,,
211,-55,0,717.146756,42,6,,
212,-55,0,464.72949,42,6,,
213,-55,0,467.226647,42,6,,
214,-55,1,496.938437,47,8,,
215,-55,0,439.659439,42,6,,
216,-56,0,458.63278,43,6,,
217,-54,0,687.013725,41,6,,
218,-55,0,428.385873,42,6,,
219,-53,1,521.543139,49,7,,
220,-48,2,6497.984496,53,8,,
221,-54,2,3010.455297,49,9,,
222,-46,3,1578.490225,45,8,,
223,-54,0,449.39134,42,6,,
224,-54,0,466.159469,42,6,,
225,-59,2,1870.132128,54,8,,
226,-55,0,439.293092,43,6,,
227,-53,1,3614.252698,41,7,,
228,-56,2,872.229968,47,7,,
229,-45,3,12293.15353,57,11,,
230,-54,0,443.4882,42,6,,
231,-54,3,3368.621489,52,10,,
232,-49,3,936.662986,48,9,,
233,-55,3,497.499022,47,8,,
234,-52,2,496.444122,44,7,,
235,-57,1,1295.095694,50,8,,
236,-55,0,1110.28614,42,6,,
237,-54,0,444.505403,42,6,,
238,-54,0,696.865791,42,6,,
239,-52,4,8093.82875,60,10,,
240,-48,3,2655.214063,47,9,,
241,-49,1,3238.851869,48,8,,
242,-52,1,438.312262,41,7,,
243,-53,1,447.996303,39,6,,
244,-57,1,488.066452,47,7,,
245,-55,0,1461.146682,42,6,,
246,-53,1,430.766419,41,7,,
247,-57,1,3449.970308,50,8,,
248,-56,1,498.816364,48,7,,
249,-55,0,465.753259,42,6,,
250,-54,1,481.892766,43,7,,
251,-51,1,3046.991561,57,8,,
252,-55,0,838.767573,42,6,,
253,-56,1,518.291262,51,7,,
254,-55,0,442.58587,42,6,,
255,-54,0,449.562681,42,6,,
256,-50,1,2739.5751,43,8,,
257,-55,0,450.644721,42,6,,
258,-56,1,485.127718,47,7,,
259,-58,1,5020.748907,51,8,,
260,-56,1,478.095943,46,7,,
261,-53,0,652.239646,40,6,,
262,-55,0,1518.233519,43,6,,
263,-54,0,470.372155,42,6,,
264,-45,1,8598.012026,53,8,,
265,-48,1,5377.72837,55,8,,
266,-55,1,424.701087,42,6,,
267,-55,0,455.19641,42,6,,
268,-55,0,431.385597,42,6,,
269,-54,0,461.414505,42,6,,
270,-55,0,545.738991,42,6,,
271,-55,0,466.871897,42,6,,
272,-55,0,428.768301,42,6,,
273,-55,0,442.741779,42,6,,
274,-54,0,453.305144,42,6,,
275,-55,0,473.826825,42,6,,
276,-49,1,2478.667712,46,7,,
277,-49,1,3506.919875,55,8,,
278,-59,2,2345.281772,56,9,,
279,-53,3,8283.401864,57,12,,
280,-55,0,478.257126,42,6,,
281,-57,1,510.395458,48,7,,
282,-54,0,425.042327,41,6,,
283,-58,2,525.97925,52,8,,
284,-56,0,446.760028,43,6,,
285,-55,0,1088.630271,42,6,,
286,-56,5,3099.004834,54,11,,
287,-53,0,375.574782,42,7,,
288,-55,0,421.11533,42,6,,
289,-55,0,710.82507,42,6,,
290,-54,1,579.372286,41,6,,
291,-54,0,540.41357,42,6,,
292,-56,2,3012.020523,62,10,,
293,-54,0,387.818818,41,6,,
294,-55,0,439.402727,42,6,,
295,-54,0,417.300813,42,6,,
296,-54,1,998.764662,49,8,,
297,-55,0,736.315826,43,6,,
298,-55,3,5294.064919,55,11,,
299,-43,2,16669.264431,63,10,,
300,-54,1,845.629928,41,6,,
301,-53,5,2839.97313,55,11,,
302,-54,0,478.086246,42,6,,
303,-51,1,2349.439101,57,8,,
304,-50,2,7109.69726,48,8,,
305,-49,1,1470.223596,46,7,,
306,-55,0,599.496686,42,6,,
307,-49,2,5999.150331,56,9,,
308,-55,0,466.593464,42,6,,
309,-58,0,471.166818,50,7,,
310,-55,1,529.052221,48,7,,
311,-54,0,409.281302,42,6,,
312,-54,0,418.935041,42,6,,
313,-59,1,516.991829,52,7,,
314,-54,0,517.529002,42,6,,
315,-54,0,461.841783,42,6,,
316,-51,2,675.32707,45,8,,
317,-55,2,2952.604354,46,9,,
318,-55,0,441.270816,42,6,,
319,-57,1,510.526497,49,7,,
320,-53,1,589.003067,49,7,,
321,-55,0,464.550194,43,6,,
322,-55,0,464.358021,43,6,,
323,-52,2,562.80266,46,7,,
324,-55,3,1827.578948,47,9,,
325,-58,1,512.254889,50,7,,
326,-54,2,5414.255767,44,8,,
327,-55,1,532.297346,51,7,,
328,-55,0,461.366985,43,6,,
329,-53,0,385.153393,39,6,,
330,-55,0,438.572442,43,6,,
331,-49,1,3727.755114,49,8,,
332,-55,0,761.114332,42,6,,
333,-54,1,1363.36235,43,7,,
334,-55,0,469.234064,42,6,,
335,-55,0,464.131837,42,6,,
336,-55,1,445.265016,43,7,,
337,-57,1,493.794947,49,7,,
338,-47,2,3043.425229,47,8,,
339,-49,1,7453.367182,55,8,,
