Iteration Count,Setpoint Average,Seconds Elapsed,,
1,0.0,0,,
2,-547.509615,26,,
3,-497.757143,35,,
4,-545.536765,34,,
5,-525.275,35,,
6,-454.43125,40,,
7,-525.03848,57,,
8,-551.71875,32,,
9,-436.290465,39,,
10,-444.625,32,,
11,121.6875,8,,
12,-315.548387,62,,
13,-549.051471,34,,
14,-574.486486,37,,
15,-546.0,31,,
16,110.5,8,,
17,-496.824324,37,,
18,-589.614621,35,,
19,-574.740741,54,,
20,-481.143021,35,,
21,-183.0625,8,,
22,-430.357558,43,,
23,-497.048387,31,,
24,-319.613197,75,,
25,-348.615,25,,
26,-346.346875,40,,
27,-360.681818,77,,
28,-429.70098,51,,
29,-557.318182,44,,
30,-444.633333,30,,
31,-408.492877,57,,
32,-554.272727,33,,
33,-31.375,8,,
34,-553.491071,28,,
35,-498.508929,28,,
36,-455.255682,44,,
37,-335.480769,52,,
38,-126.352941,17,,
39,-445.566038,53,,
40,-574.951736,45,,
41,-373.986607,56,,
42,-202.794118,17,,
43,-444.966216,37,,
44,-505.472973,37,,
45,-319.168103,58,,
46,-405.171131,42,,
47,-469.102654,66,,
48,-465.290625,40,,
49,-352.701823,48,,
50,-281.0,17,,
51,-577.911667,75,,
52,-547.965909,33,,
53,-343.244681,47,,
54,-156.985294,17,,
55,-523.197917,36,,
56,-356.978333,75,,
57,-456.357164,53,,
58,-130.34375,8,,
59,-442.140625,32,,
60,-524.050022,60,,
61,-500.016667,30,,
62,-488.925926,27,,
63,-450.82,25,,
64,-557.863636,66,,
65,-487.135638,47,,
66,-540.280612,49,,
67,-16.625,8,,
68,-478.05814,43,,
69,-650.459091,55,,
70,-289.0625,40,,
71,-465.823529,34,,
72,-550.177778,45,,
73,-426.007042,71,,
74,-402.570122,41,,
75,-200.588235,17,,
76,-620.790865,52,,
77,-487.332192,73,,
78,-460.1,35,,
79,-67.0625,8,,
80,-543.473214,56,,
81,-534.18,25,,
82,-372.918605,43,,
83,-459.843137,51,,
84,-493.536058,52,,
85,-373.902778,54,,
86,-430.290541,37,,
87,-501.468594,25,,
88,-496.286152,51,,
89,-511.116667,30,,
90,-477.866667,30,,
91,-545.411111,45,,
92,-130.617647,17,,
93,-522.514706,34,,
94,-538.242424,33,,
95,-499.916667,30,,
96,-354.848485,66,,
97,-83.6875,8,,
98,-454.08774,52,,
99,-466.452703,37,,
100,-534.78,25,,
101,-486.153418,49,,
102,-103.25,8,,
103,-416.909091,44,,
104,-302.583333,66,,
105,-530.22,25,,
106,-197.411765,34,,
107,-455.266667,30,,
108,-312.944196,56,,
109,-252.978814,59,,
110,-302.2,25,,
111,-494.225586,40,,
112,-438.299569,58,,
113,-406.686111,45,,
114,147.88,25,,
115,-551.900438,41,,
116,-327.311765,85,,
117,-498.6,30,,
118,-39.029412,17,,
119,-554.996709,54,,
120,-585.878788,33,,
121,-502.6875,32,,
122,-445.486842,38,,
123,-239.852941,17,,
124,-512.351852,27,,
125,-503.153846,39,,
126,-395.978261,46,,
127,-519.461735,49,,
128,-71.0,8,,
129,-320.652778,54,,
130,-608.718001,43,,
131,-536.780001,25,,
132,-532.527778,27,,
133,-408.60125,25,,
134,-379.993421,57,,
135,-468.599139,58,,
136,-577.034738,56,,
137,-413.208333,60,,
138,-480.235294,51,,
139,-509.401515,33,,
140,-362.324063,25,,
141,-551.378205,39,,
142,-518.914773,44,,
143,-451.787066,45,,
144,-450.546875,32,,
145,-7.875,8,,
146,-495.071429,28,,
147,-578.434722,45,,
148,-332.05,50,,
149,-382.279412,51,,
150,-507.368056,36,,
151,-514.598684,38,,
152,-492.885204,49,,
153,-522.265625,44,,
154,-438.121795,39,,
155,-357.875,44,,
156,-532.358333,30,,
157,-544.9375,32,,
158,-67.68,25,,
159,-561.28125,56,,
160,-579.985577,52,,
161,-407.142157,51,,
162,-77.25,8,,
163,-422.717593,54,,
164,-507.3,35,,
165,-460.984694,49,,
166,-370.768382,34,,
167,-310.398438,64,,
168,-514.985243,72,,
169,-541.242647,34,,
170,-356.945998,57,,
