Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,-69,28,-743,60,,
3,-37,33,311,60,,
4,20,35,-3271,51,,
5,27,35,-113802,60,,
6,-54,29,215,60,,
7,25,38,-85629,51,,
8,-52,26,896,60,,
9,-60,28,11177,60,,
10,-118,12,-405,51,,
11,-92,27,-617,60,,
12,-34,32,1557,60,,
13,-12,30,1985,51,,
14,-24,35,5487,60,,
15,-37,30,1948,60,,
16,-26,25,5796,52,,
17,-104,23,-676,60,,
18,-65,26,-827,60,,
19,-23,27,464,51,,
20,-23,31,18641,60,,
21,-77,26,502,60,,
22,-62,28,-637,51,,
23,-71,31,767,60,,
24,-90,24,-594,60,,
25,-47,23,-569,51,,
26,-31,31,943,60,,
27,-53,32,12175,60,,
28,6,30,460,52,,
29,-76,30,31,60,,
30,-31,33,1429,60,,
31,-53,23,1047,51,,
32,-24,31,19653,60,,
33,-48,28,8532,60,,
34,-52,23,-706,51,,
35,-80,23,-607,60,,
36,-115,21,-521,60,,
37,-66,19,402,51,,
38,-66,31,2923,60,,
39,-50,28,2045,60,,
40,-24,30,2368,52,,
41,-25,35,1171,60,,
42,-54,28,891,60,,
43,-28,28,-47,51,,
44,-78,25,-801,60,,
45,-51,32,-881,60,,
46,-3,35,21108,51,,
47,-87,22,-688,60,,
48,-104,19,-620,60,,
49,-46,24,1253,51,,
50,-45,30,278,60,,
51,-40,29,-132,60,,
52,-56,20,-326,51,,
53,15,37,-1469,60,,
54,-35,30,3521,60,,
55,-72,19,-718,52,,
56,-31,35,604,60,,
57,-84,24,-774,60,,
58,-57,25,-275,51,,
59,-73,24,3484,60,,
60,-55,30,1664,60,,
61,-60,26,-416,51,,
62,-50,29,-398,60,,
63,-74,27,-262,60,,
64,9,35,3151,51,,
65,-57,27,4034,60,,
66,-54,25,486,60,,
67,-20,29,9937,52,,
68,-43,28,1063,60,,
69,-35,33,-205,60,,
70,-25,28,3214,51,,
71,-16,30,-2318,60,,
72,-68,27,-803,60,,
73,-40,31,322,51,,
74,-92,28,70,60,,
75,-122,20,-519,60,,
76,-25,26,1309,51,,
77,-58,28,15,60,,
78,-61,22,2033,60,,
79,-42,29,640,52,,
80,-39,36,-931,60,,
81,-81,32,-571,60,,
82,-3,30,3961,51,,
83,-49,24,5526,60,,
84,-78,25,-398,60,,
85,-9,29,-625,51,,
86,-87,30,-677,60,,
87,-53,25,72,60,,
88,-23,32,3789,51,,
89,-43,33,1036,60,,
90,-71,27,-530,60,,
91,-48,22,424,51,,
92,-63,25,3266,61,,
93,-33,33,799,60,,
94,-55,22,-370,51,,
95,-15,31,3647,60,,
96,-49,33,-861,60,,
97,-32,26,2538,51,,
98,-28,31,937,60,,
99,-24,38,4139,60,,
100,-80,22,3440,51,,
101,-59,29,-658,60,,
102,-51,29,-503,60,,
103,-99,18,-241,51,,
104,-46,34,1312,60,,
105,-100,26,747,60,,
106,-48,27,2585,52,,
107,-55,31,-916,60,,
108,-48,30,-668,60,,
109,-90,15,-646,51,,
110,-36,35,566,60,,
111,-34,35,834,60,,
112,-108,13,-532,51,,
113,-63,28,-572,60,,
114,-75,23,-633,60,,
115,-24,27,1479,51,,
116,-92,25,1128,60,,
117,-68,27,879,60,,
118,-44,23,19,52,,
119,-101,22,-744,60,,
120,-57,29,601,60,,
121,-78,20,-674,51,,
122,-75,22,-180,60,,
123,-36,30,1579,60,,
124,-7,30,5867,51,,
125,-40,32,140,60,,
126,-48,29,1081,60,,
127,-46,26,-546,51,,
128,-78,29,-402,60,,
129,-112,23,-226,60,,
130,-99,18,-206,52,,
131,1,31,-17330,60,,
132,-69,30,1032,60,,
133,-42,27,-781,51,,
134,-43,30,-679,60,,
135,-37,33,-97,60,,
136,-78,17,-250,51,,
137,-41,30,9661,60,,
